store_id,place_id,address,reason,detail
267,ChIJkXc5FuDlYTURvdPOt2Rsv3M,강원특별자치도 강릉시 옥천동 366,NO_RESULTS,
265,EjkyMDXtmLgsIDQgTmFlc3UtZG9uZywgSm9uZ25vIERpc3RyaWN0LCBTZW91bCwgU291dGggS29yZWEiIhogChYKFAoSCdfSRZqUonw1ERReF5N-ogaJEgYyMDXtmLg,서울특별시 종로구 내수동 4 205호,NO_RESULTS,
257,Ekkx7Li1IGHtmLgsIDEwMzgtMTYgSW5neWUtZG9uZywgUGFsZGFsLWd1LCBTdXdvbiwgR3llb25nZ2ktZG8sIFNvdXRoIEtvcmVhIiUaIwoWChQKEgk9CF-ZW0N7NRHy-UmGa00nZRIJMey4tSBh7Zi4,경기도 수원시 팔달구 인계동 1038-16 1층 A호,NO_RESULTS,
256,ChIJqeM2CmdDezURZ4JtPkKiI1E,경기도 수원시 팔달구 인계동 1132-4,NO_RESULTS,
255,Ejsx7Li1LCA3NDEtOCBTZW9rc2EtZG9uZywgQ2h1bmNoZW9uLCBHYW5nd29uLWRvLCBTb3V0aCBLb3JlYSIgGh4KFgoUChIJGxET57DlYjURUPZHm5E40VUSBDHsuLU,강원특별자치도 춘천시 석사동 741-8 1층 오돌이닭발,NO_RESULTS,
250,ChIJL3Wx6pSifDURe_WfqbZAk4I,서울특별시 종로구 도렴동 60,NO_RESULTS,
252,ChIJx-7w71GcfDURwM-Jccz-co8,서울특별시 강서구 화곡동 1068-23 동인빌딩 2층,NO_RESULTS,
251,ChIJLSbQyhOjfDUR96nOzhsQ0_Y,서울특별시 종로구 수송동 146-1 이마빌딩 지하1층 백년가짬뽕,NO_RESULTS,
308,ChIJK8tn8ENhezURWDlAYBVrmTw,경기도 광명시 일직동 512-3,NO_RESULTS,
309,ChIJr3RDSmjvYTURwtfE_0hw_yY,강원특별자치도 강릉시 내곡동 422-5,NO_RESULTS,
307,Ejkx7Li1LCA1NDUtMTIgR3dhZWJlb3AtZG9uZywgU2FzYW5nLWd1LCBCdXNhbiwgU291dGggS29yZWEiIBoeChYKFAoSCUMZ70jYwWg1ET536hcknBNFEgQx7Li1,부산광역시 사상구 괘법동 545-12 A동 1층 A호,NO_RESULTS,
305,ChIJfxji4WaTaDURwhQW6rgQVHg,부산광역시 연제구 거제동 242-23,NO_RESULTS,
299,ChIJAzZt0FvvYTURDhSFxWOLRBA,강원특별자치도 강릉시 내곡동 107-7,NO_RESULTS,
298,ChIJdaI6lGnvYTURVUv-GL37BB0,강원특별자치도 강릉시 내곡동 487-6,NO_RESULTS,
295,EkQx7Li1IDEwMu2YuCwgMzYwLTEzIEppYnllb24tZG9uZywgR2FuZ25ldW5nLCBHYW5nd29uLWRvLCBTb3V0aCBLb3JlYSInGiUKFgoUChIJCenTFL3lYTURI3VTInlle4MSCzHsuLUgMTAy7Zi4,강원특별자치도 강릉시 지변동 360-13 1층 102호,NO_RESULTS,
293,ChIJs-NPS-_DYTURQizqZhCXyIE,강원특별자치도 강릉시 옥계면 금진리 124-35 1층 크림브리즈,NO_RESULTS,
289,ChIJZ9g_x5PlYTURQvmawEcPeE0,강원특별자치도 강릉시 교동 1843-12,NO_RESULTS,
285,ChIJt-oguxruYTURN0go2x_NnRE,강원특별자치도 강릉시 성산면 산북리 880,HTTP_STATUS,429
306,Ejsx7Li1LCA2MTYtMSBNeWVvbmdueXVuLWRvbmcsIERvbmduYWUtZ3UsIEJ1c2FuLCBTb3V0aCBLb3JlYSIgGh4KFgoUChIJ2aGSTXeTaDURhJ07Yqbl820SBDHsuLU,부산광역시 동래구 명륜동 616-1 1층,HTTP_STATUS,429
303,Ejwy7Li1LCA1NTMtMjAgTXllb25nbnl1bi1kb25nLCBEb25nbmFlLWd1LCBCdXNhbiwgU291dGggS29yZWEiIBoeChYKFAoSCSXNcF16k2g1ET6SzE_MSO4oEgQy7Li1,부산광역시 동래구 명륜동 553-20 2층,HTTP_STATUS,429
301,Ejwx7Li1LCAzMTgtMjggTmFlZ29rLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIBoeChYKFAoSCS8FsSlt72E1Edeyvgj3ZrUDEgQx7Li1,강원특별자치도 강릉시 내곡동 318-28 1층,HTTP_STATUS,429
287,Ejkx7Li1LCAxODMxLTcgR3lvLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIBoeChYKFAoSCXU_-X6R5WE1ET1GSgEx1eTEEgQx7Li1,강원특별자치도 강릉시 교동 1831-7 1층,HTTP_STATUS,429
282,Ejkx7Li1LCA3MDMtMyBOb2FtLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIBoeChYKFAoSCd-rsDZW72E1Ed5vrbI4iTWTEgQx7Li1,강원특별자치도 강릉시 노암동 703-3 . 1층,HTTP_STATUS,429
278,Ejwx7Li1LCAxMTQ3LTI3IFBvbmFtLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIBoeChYKFAoSCd1AG0V05mE1Ebyut6NMvbsUEgQx7Li1,강원특별자치도 강릉시 포남동 1147-27 1층,HTTP_STATUS,429
274,Ejoy7Li1LCA0OS01IEltZGFuZy1kb25nLCBHYW5nbmV1bmcsIEdhbmd3b24tZG8sIFNvdXRoIEtvcmVhIiAaHgoWChQKEgldZy668OVhNRE8vk21JhwOSRIEMuy4tQ,강원특별자치도 강릉시 임당동 49-5 2층,HTTP_STATUS,429
273,Ejsx7Li1LCAxNjItMiBJbWRhbmctZG9uZywgR2FuZ25ldW5nLCBHYW5nd29uLWRvLCBTb3V0aCBLb3JlYSIgGh4KFgoUChIJpbZwt_DlYTURIZdiFyplANsSBDHsuLU,강원특별자치도 강릉시 임당동 162-2 1층,HTTP_STATUS,429
296,ChIJpQdjx1ydfDUR5Yeb-X2l8EI,서울특별시 강서구 마곡동 797-4 발산파크프라자 2층 205호,HTTP_STATUS,429
290,EjzsuLUgMTA3LCAxODY2LTIgR3lvLWRvbmcsIEdhbmduZXVuZywgR2FuZ3dvbi1kbywgU291dGggS29yZWEiIxohChYKFAoSCRuBgzGS5WE1EelU6Ji2Z9kmEgfsuLUgMTA3,강원특별자치도 강릉시 교동 1866-2 1층 107짬뽕,HTTP_STATUS,429
